order_id,predicted_kpt_old,rider_wait_old,predicted_eta_old,predicted_kpt_new,rider_wait_new,predicted_eta_new,eta_error_old,eta_error_new,kpt_improvement_min,eta_accuracy_improvement_min,rider_idle_time_reduction_min,dispatch_strategy,system_load_score,fairness_index
47,55.0,0.2,94.0,37.6,0.2,76.6,11.4,6.0,17.4,5.4,0.0,AI_Dynamic,0.17,0.74
48,3.7,5.9,46.5,5.0,0.2,42.1,2.4,2.0,1.3,0.4,5.7,AI_Dynamic,1.0,0.75
49,24.7,6.2,96.9,26.5,5.1,97.6,1.6,0.9,1.4,0.7,1.1,AI_Dynamic,0.17,1.0
50,32.4,12.6,52.9,40.9,1.3,50.1,3.4,0.6,7.5,2.8,11.3,AI_Dynamic,0.95,0.72
51,17.5,13.9,68.8,28.6,3.7,69.7,0.5,0.4,7.5,0.1,10.2,AI_Dynamic,0.61,0.99
52,21.8,9.7,45.4,31.1,4.0,49.0,2.1,1.5,0.9,0.6,5.7,AI_Dynamic,0.7,0.88
53,19.4,1.1,78.9,16.7,2.3,77.4,0.2,1.3,2.7,-1.1,-1.2,AI_Dynamic,0.24,0.74
54,15.1,7.3,75.3,18.4,6.4,77.7,3.7,1.3,2.1,2.4,0.9,AI_Dynamic,0.92,0.91
55,62.6,1.9,87.8,49.6,2.4,75.3,12.0,0.5,12.0,11.5,-0.5,Old_Static,0.75,0.99
56,35.1,2.3,41.1,36.6,2.5,42.8,5.3,3.6,-1.5,1.7,-0.2,AI_Dynamic,0.62,0.83
57,25.8,11.7,55.4,31.7,0.2,49.8,1.6,4.0,5.9,-2.4,11.5,AI_Dynamic,0.14,0.98
58,36.0,1.6,79.0,28.7,4.9,75.0,0.2,3.8,7.3,-3.6,-3.3,Old_Static,0.37,0.97
59,11.7,2.1,30.9,8.4,0.5,26.0,3.6,8.5,-0.7,-4.9,1.6,AI_Dynamic,0.45,0.82
60,14.6,2.2,33.6,11.4,4.1,32.3,0.4,0.9,-2.8,-0.5,-1.9,Old_Static,0.39,0.86
61,34.2,6.0,44.7,37.4,2.6,44.5,1.5,1.3,-0.4,0.2,3.4,AI_Dynamic,0.37,0.73
62,25.9,14.4,53.0,36.9,2.1,51.7,4.0,5.3,8.6,-1.3,12.3,AI_Dynamic,0.38,0.81
63,25.7,18.8,47.9,41.5,0.8,45.7,2.9,0.7,12.6,2.2,18.0,AI_Dynamic,1.0,1.0
64,59.8,1.2,76.7,42.9,0.7,59.3,12.6,4.8,14.9,7.8,0.5,AI_Dynamic,0.86,0.71
65,28.2,7.3,69.4,28.6,5.4,67.9,2.9,1.4,0.4,1.5,1.9,AI_Dynamic,0.49,0.91
66,39.5,1.2,73.5,37.4,2.0,72.2,3.2,4.5,1.3,-1.3,-0.8,Old_Static,0.18,0.96
67,27.7,1.3,45.6,24.7,0.2,41.5,2.5,1.6,2.8,0.9,1.1,Old_Static,0.21,0.72
68,29.7,12.6,56.6,35.2,1.2,50.7,3.0,8.9,5.5,-5.9,11.4,AI_Dynamic,0.32,0.94
69,13.6,6.7,58.9,15.9,4.2,58.7,4.4,4.6,1.9,-0.2,2.5,Old_Static,0.53,0.72
70,28.0,2.0,77.4,27.2,1.1,75.7,0.6,2.3,0.8,-1.7,0.9,AI_Dynamic,0.15,0.98
71,12.5,7.4,58.4,11.3,2.1,51.9,1.3,5.2,-1.2,-3.9,5.3,AI_Dynamic,0.66,0.8
72,48.6,1.2,85.6,37.4,3.1,76.3,5.7,3.6,11.2,2.1,-1.9,AI_Dynamic,0.94,0.85
73,41.3,1.3,76.6,37.1,0.2,71.3,3.5,1.8,2.6,1.7,1.1,Old_Static,0.58,0.87
74,43.0,8.1,81.1,43.2,3.5,76.7,2.1,2.3,0.2,-0.2,4.6,AI_Dynamic,0.68,0.89
75,37.6,7.5,80.7,37.6,2.0,75.2,3.2,2.3,0.0,0.9,5.5,Old_Static,0.16,0.83
76,30.8,1.4,34.8,31.1,2.8,36.5,5.2,3.5,-0.3,1.7,-1.4,AI_Dynamic,0.64,0.88
77,11.9,0.7,38.7,11.0,3.3,40.4,6.3,4.6,0.1,1.7,-2.6,AI_Dynamic,0.93,0.96
78,33.6,8.6,80.1,35.9,0.7,74.5,4.4,10.0,2.3,-5.6,7.9,AI_Dynamic,0.76,0.98
79,21.1,7.3,85.9,20.2,0.6,78.3,2.2,5.4,-0.9,-3.2,6.7,Old_Static,0.66,0.89
80,47.4,8.6,88.6,53.5,0.8,86.9,0.8,0.9,1.9,-0.1,7.8,AI_Dynamic,0.99,0.94
81,44.0,5.9,64.2,42.4,0.1,56.8,2.9,4.5,-1.6,-1.6,5.8,AI_Dynamic,0.62,0.71
82,29.2,5.1,62.6,27.8,1.4,57.5,4.4,9.5,-1.4,-5.1,3.7,AI_Dynamic,0.74,0.71
83,14.8,8.2,34.0,22.1,2.3,35.4,1.5,2.9,-0.1,-1.4,5.9,AI_Dynamic,0.87,0.81
84,51.8,2.6,83.2,42.0,0.6,71.4,4.5,7.3,8.8,-2.8,2.0,AI_Dynamic,0.68,0.98
85,31.9,2.8,39.6,22.6,1.9,29.4,9.7,0.5,9.3,9.2,0.9,Old_Static,0.32,0.77
86,8.0,2.3,61.1,10.1,0.5,61.4,1.5,1.8,-2.1,-0.3,1.8,AI_Dynamic,0.71,0.79
87,62.5,2.6,95.7,52.0,1.8,84.4,7.8,3.5,10.5,4.3,0.8,AI_Dynamic,0.3,0.82
88,33.9,5.2,66.0,34.3,0.1,61.3,4.8,9.5,0.4,-4.7,5.1,AI_Dynamic,0.31,0.96
89,21.6,6.3,36.2,23.7,0.1,32.1,4.5,8.6,1.3,-4.1,6.2,AI_Dynamic,0.39,0.85
90,36.0,8.5,69.4,37.2,1.5,63.6,2.2,3.6,1.2,-1.4,7.0,AI_Dynamic,0.4,0.93
91,17.5,2.0,52.0,12.6,1.1,46.2,2.9,8.7,2.5,-5.8,0.9,AI_Dynamic,0.86,0.95
92,20.0,6.6,39.6,19.0,0.2,32.2,2.2,9.6,-1.0,-7.4,6.4,AI_Dynamic,0.49,0.84
93,15.9,11.0,35.1,23.0,0.5,31.7,5.1,8.5,5.7,-3.4,10.5,AI_Dynamic,0.73,0.81
94,40.3,2.7,48.7,34.9,1.7,42.3,3.3,3.1,1.2,0.2,1.0,Old_Static,0.79,0.93
95,30.6,0.9,76.8,18.8,2.1,66.2,8.0,2.6,8.4,5.4,-1.2,AI_Dynamic,0.8,0.72
96,18.7,2.2,32.8,16.0,2.1,30.0,4.1,6.9,2.7,-2.8,0.1,AI_Dynamic,0.93,0.73
97,53.1,1.1,87.6,40.8,2.8,77.0,4.1,6.5,12.3,-2.4,-1.7,AI_Dynamic,0.99,0.9
98,27.4,2.2,39.3,26.0,0.3,36.0,1.4,1.9,1.4,-0.5,1.9,AI_Dynamic,0.76,0.91
99,29.4,0.8,63.5,29.0,4.5,66.8,4.8,1.5,0.4,3.3,-3.7,AI_Dynamic,0.31,0.73
100,34.1,1.0,77.9,28.1,1.0,71.9,6.2,0.2,6.0,6.0,0.0,AI_Dynamic,0.54,0.83
101,11.0,6.8,31.5,12.6,3.5,29.8,2.6,4.3,1.6,-1.7,3.3,AI_Dynamic,0.78,0.72
102,51.3,2.1,59.1,49.3,0.1,55.1,1.5,5.5,2.0,-4.0,2.0,Old_Static,0.57,0.85
103,35.1,0.5,55.0,28.5,0.9,48.8,2.5,8.7,5.4,-6.2,-0.4,AI_Dynamic,0.65,0.88
104,28.7,0.5,44.7,20.0,2.0,37.5,5.0,2.2,8.7,2.8,-1.5,AI_Dynamic,0.23,0.91
105,17.6,14.1,40.6,28.1,0.8,37.8,2.5,5.3,8.5,-2.8,13.3,AI_Dynamic,0.26,0.85
106,28.8,0.9,42.1,24.1,2.5,39.0,6.9,10.0,-1.9,-3.1,-1.6,AI_Dynamic,0.45,0.83
107,13.8,9.4,53.2,15.3,0.4,45.7,5.3,12.8,1.5,-7.5,9.0,Old_Static,0.53,0.76
108,23.0,14.6,44.4,31.1,3.8,41.7,4.6,7.3,8.1,-2.7,10.8,AI_Dynamic,0.25,0.81
109,18.7,2.9,45.1,13.9,1.0,38.4,0.4,6.3,4.8,-5.9,1.9,AI_Dynamic,0.17,0.93
110,13.3,11.4,59.5,22.2,3.3,60.3,2.1,1.3,4.7,0.8,8.1,AI_Dynamic,0.47,0.93
111,23.0,5.4,48.0,22.4,0.3,42.3,3.1,8.8,-0.6,-5.7,5.1,AI_Dynamic,0.25,0.87
112,29.1,16.9,53.3,38.0,4.1,49.4,0.6,3.3,8.9,-2.7,12.8,AI_Dynamic,0.25,0.99
113,14.0,9.4,67.2,17.2,1.4,62.4,2.9,7.7,3.2,-4.8,8.0,AI_Dynamic,0.63,0.94
114,35.1,1.2,45.1,28.2,0.3,37.3,5.7,2.1,5.3,3.6,0.9,AI_Dynamic,0.43,0.79
115,22.1,0.4,48.1,23.3,2.8,51.7,8.4,4.8,-1.2,3.6,-2.4,AI_Dynamic,0.59,0.8
116,35.6,5.2,71.3,34.6,6.5,71.6,3.3,3.0,-1.0,0.3,-1.3,Old_Static,0.18,0.71
117,18.1,0.9,32.2,12.9,0.2,26.3,2.5,8.4,1.4,-5.9,0.7,AI_Dynamic,0.86,0.86
118,26.3,12.4,100.7,33.8,2.7,98.5,0.2,2.4,7.5,-2.2,9.7,AI_Dynamic,0.21,0.78
119,28.4,7.8,62.3,30.2,3.5,59.8,2.9,0.4,1.8,2.5,4.3,AI_Dynamic,0.16,0.74
120,40.1,2.5,67.1,28.1,0.4,53.0,11.6,2.5,12.0,9.1,2.1,AI_Dynamic,0.76,0.98
121,16.5,12.6,44.3,23.9,2.6,41.7,4.0,6.6,7.4,-2.6,10.0,AI_Dynamic,0.33,0.82
122,19.7,0.7,45.9,14.9,3.9,44.3,1.1,0.5,4.8,0.6,-3.2,AI_Dynamic,0.29,0.8
123,20.3,2.4,31.4,13.7,0.4,22.8,1.5,10.1,4.8,-8.6,2.0,AI_Dynamic,0.51,0.95
124,24.8,2.0,87.1,17.7,2.4,80.4,3.5,3.2,7.1,0.3,-0.4,Old_Static,0.98,0.91
125,14.3,7.3,57.9,19.0,5.3,60.6,4.3,1.6,0.7,2.7,2.0,AI_Dynamic,0.11,0.86
126,53.9,0.9,81.6,38.6,1.3,66.7,7.8,7.1,15.3,0.7,-0.4,AI_Dynamic,0.36,0.9
127,23.7,8.1,44.0,27.6,4.0,43.8,1.4,1.2,3.1,0.2,4.1,AI_Dynamic,0.55,0.98
128,23.4,8.3,44.9,22.9,0.6,36.7,0.9,7.3,-0.5,-6.4,7.7,AI_Dynamic,0.6,0.98
129,22.9,1.5,57.1,19.9,0.1,52.7,3.4,1.0,3.0,2.4,1.4,AI_Dynamic,0.82,0.78
130,30.0,3.0,40.5,27.0,2.5,37.0,4.9,1.4,3.0,3.5,0.5,AI_Dynamic,0.43,0.78
131,9.2,4.7,28.0,5.2,3.0,22.3,1.6,4.1,-4.0,-2.5,1.7,AI_Dynamic,0.93,0.82
132,17.4,0.6,56.2,15.1,2.5,55.8,6.7,7.1,-0.7,-0.4,-1.9,AI_Dynamic,0.28,0.74
133,30.7,0.6,45.3,26.2,0.6,40.8,0.0,4.5,-2.1,-4.5,0.0,AI_Dynamic,0.11,0.93
134,8.5,5.2,46.1,10.3,5.1,47.8,3.0,1.3,-0.6,1.7,0.1,Old_Static,0.45,0.85
135,5.2,1.2,70.3,6.0,0.4,70.3,1.8,1.8,-0.8,0.0,0.8,AI_Dynamic,0.41,0.79
136,8.2,5.7,16.3,7.2,2.1,11.7,0.9,5.5,-1.0,-4.6,3.6,Old_Static,0.23,0.82
137,32.3,12.6,71.6,40.8,0.8,68.3,3.2,0.1,7.5,3.1,11.8,AI_Dynamic,0.58,0.79
138,51.4,2.0,109.7,40.1,2.0,98.4,7.8,3.5,11.3,4.3,0.0,AI_Dynamic,0.97,0.88
139,69.1,1.9,103.7,47.2,1.1,81.0,20.3,2.4,19.7,17.9,0.8,AI_Dynamic,0.88,0.84
140,54.3,2.8,95.2,44.3,0.5,82.9,3.2,9.1,7.2,-5.9,2.3,AI_Dynamic,0.3,0.89
141,16.8,1.1,55.1,10.8,0.2,48.2,3.8,3.1,3.2,0.7,0.9,AI_Dynamic,0.69,0.9
142,12.9,6.5,23.7,13.1,0.7,18.1,1.9,3.7,0.2,-1.8,5.8,AI_Dynamic,0.56,0.76
143,9.2,8.2,23.9,14.5,1.2,22.2,4.7,6.4,1.9,-1.7,7.0,AI_Dynamic,0.67,0.92
144,13.7,7.2,49.2,18.2,1.7,48.2,2.6,3.6,0.7,-1.0,5.5,AI_Dynamic,0.59,0.71
145,24.1,10.3,94.3,27.6,0.8,88.3,2.8,3.2,3.5,-0.4,9.5,Old_Static,0.2,0.93
146,37.0,12.4,71.0,45.1,1.8,68.5,1.5,1.0,7.5,0.5,10.6,AI_Dynamic,0.79,0.9
147,24.9,14.1,88.5,33.7,4.4,87.6,2.4,3.3,8.8,-0.9,9.7,AI_Dynamic,0.65,0.87
148,44.9,2.8,91.9,38.0,0.2,82.4,5.6,3.9,6.9,1.7,2.6,AI_Dynamic,0.38,0.72
149,27.4,0.9,54.5,20.1,0.8,47.1,0.4,7.0,7.3,-6.6,0.1,AI_Dynamic,0.47,0.76
150,16.1,2.6,58.6,15.5,4.7,60.1,4.1,2.6,0.6,1.5,-2.1,AI_Dynamic,0.69,0.89
151,18.0,1.3,47.9,16.7,1.9,47.2,4.0,4.7,1.3,-0.7,-0.6,AI_Dynamic,0.91,0.85
152,24.4,12.5,55.4,33.9,0.3,52.7,1.8,4.5,6.3,-2.7,12.2,AI_Dynamic,0.61,0.71
153,28.3,1.5,53.2,28.8,0.5,52.7,2.0,2.5,-0.5,-0.5,1.0,Old_Static,0.4,0.97
154,27.3,6.3,59.2,31.5,1.4,58.5,4.3,5.0,-0.8,-0.7,4.9,AI_Dynamic,0.34,0.97
155,11.6,7.8,42.0,12.2,2.3,37.1,2.7,2.2,0.6,0.5,5.5,AI_Dynamic,0.35,0.7
156,18.0,8.8,88.9,19.4,1.9,83.4,1.0,4.5,1.4,-3.5,6.9,AI_Dynamic,0.99,1.0
157,27.5,0.8,96.9,29.2,1.5,99.3,3.8,1.4,-1.7,2.4,-0.7,Old_Static,0.77,0.91
158,40.8,2.9,66.6,36.1,2.0,61.0,6.9,1.3,4.7,5.6,0.9,AI_Dynamic,0.88,0.95
159,21.6,14.2,110.4,32.8,1.1,108.5,1.9,0.0,8.0,1.9,13.1,AI_Dynamic,0.25,0.85
160,23.1,6.4,68.1,26.3,2.5,67.4,1.2,1.9,0.4,-0.7,3.9,AI_Dynamic,0.68,0.79
161,42.0,2.8,53.1,38.4,3.0,49.7,3.7,0.3,2.0,3.4,-0.2,AI_Dynamic,0.18,0.85
162,49.4,1.4,81.8,45.7,1.1,77.8,1.1,2.9,3.7,-1.8,0.3,AI_Dynamic,0.89,0.94
163,18.5,7.6,31.2,23.9,2.5,31.5,4.6,4.3,0.6,0.3,5.1,AI_Dynamic,0.91,0.85
164,25.9,1.5,46.2,25.9,2.7,47.4,0.2,1.0,0.0,-0.8,-1.2,AI_Dynamic,0.16,0.95
165,15.4,6.9,47.2,15.1,2.6,42.6,1.8,6.4,-0.3,-4.6,4.3,AI_Dynamic,0.89,0.97
166,32.2,24.5,80.8,50.7,3.3,78.1,1.8,0.9,18.5,0.9,21.2,AI_Dynamic,0.71,0.72
167,25.1,3.0,59.2,17.9,3.2,52.2,0.1,7.1,3.8,-7.0,-0.2,AI_Dynamic,0.12,0.87
168,27.2,5.2,52.6,27.7,2.8,50.7,1.9,3.8,0.5,-1.9,2.4,AI_Dynamic,0.8,0.88
169,44.4,3.0,102.8,30.0,0.7,86.1,7.7,9.0,14.4,-1.3,2.3,AI_Dynamic,0.78,0.94
170,25.7,14.4,68.4,33.7,2.6,64.6,1.3,2.5,8.0,-1.2,11.8,Old_Static,0.13,0.95
171,34.5,5.7,98.7,36.1,4.5,99.1,1.8,1.4,0.6,0.4,1.2,AI_Dynamic,0.65,0.78
172,39.8,2.2,62.6,39.1,2.2,61.9,0.3,0.4,0.7,-0.1,0.0,AI_Dynamic,0.77,0.93
173,35.1,0.3,52.1,31.2,1.5,49.4,6.4,9.1,0.7,-2.7,-1.2,AI_Dynamic,0.47,0.8
174,6.8,6.0,32.6,8.3,0.7,28.8,3.1,6.9,1.3,-3.8,5.3,AI_Dynamic,0.8,0.78
175,50.0,2.7,58.7,33.2,0.8,40.0,15.2,3.5,13.2,11.7,1.9,AI_Dynamic,0.66,0.86
176,29.0,1.3,74.8,28.4,1.0,73.9,5.5,6.4,0.6,-0.9,0.3,AI_Dynamic,0.85,0.89
177,20.5,1.9,42.5,17.8,3.2,41.1,1.6,3.0,2.7,-1.4,-1.3,AI_Dynamic,0.7,0.76
178,37.4,2.4,60.7,28.8,0.8,50.5,4.6,5.6,7.4,-1.0,1.6,AI_Dynamic,0.22,0.83
179,43.3,6.1,73.6,44.9,3.8,72.9,0.8,1.5,1.4,-0.7,2.3,AI_Dynamic,0.44,0.82
180,50.3,2.3,58.2,42.1,0.3,48.0,4.9,5.3,8.2,-0.4,2.0,Old_Static,0.25,0.72
181,6.0,7.1,66.5,12.7,0.4,66.5,3.1,3.1,-1.7,0.0,6.7,Old_Static,0.65,0.89
182,64.1,0.5,92.0,45.0,1.9,74.3,13.9,3.8,19.1,10.1,-1.4,AI_Dynamic,0.56,0.86
183,42.5,2.0,52.2,39.2,0.2,47.1,6.0,0.9,3.3,5.1,1.8,Old_Static,0.26,0.8
184,27.9,16.4,71.7,40.4,1.0,68.8,2.4,5.3,11.1,-2.9,15.4,AI_Dynamic,0.57,0.78
185,21.4,2.9,41.5,19.1,0.8,37.1,1.1,5.5,2.3,-4.4,2.1,Old_Static,0.35,0.72
186,17.1,2.3,55.7,12.7,1.2,50.2,0.7,6.2,3.8,-5.5,1.1,AI_Dynamic,0.12,0.78
187,36.2,6.1,91.1,40.5,1.0,90.3,0.7,1.5,-1.3,-0.8,5.1,AI_Dynamic,0.29,0.76
188,7.0,7.2,21.4,8.9,4.1,20.2,2.5,3.7,1.9,-1.2,3.1,AI_Dynamic,0.45,1.0
189,36.8,6.8,72.9,37.4,1.4,68.1,2.4,7.2,0.6,-4.8,5.4,AI_Dynamic,0.44,0.79
190,7.8,0.1,34.8,6.6,0.7,34.2,4.6,5.2,0.8,-0.6,-0.6,AI_Dynamic,0.64,0.96
191,41.9,1.1,62.5,30.4,1.7,51.6,4.4,6.5,11.5,-2.1,-0.6,AI_Dynamic,0.8,0.9
192,23.1,9.2,49.8,28.0,3.5,49.0,4.8,5.6,4.3,-0.8,5.7,AI_Dynamic,0.77,0.81
193,22.2,5.8,77.6,23.6,1.7,74.9,3.2,0.5,1.0,2.7,4.1,AI_Dynamic,0.83,0.73
194,37.5,2.8,69.2,25.6,3.2,57.7,5.4,6.1,11.7,-0.7,-0.4,AI_Dynamic,0.56,0.94
195,23.3,0.2,34.3,18.5,0.9,30.2,1.3,2.8,4.8,-1.5,-0.7,AI_Dynamic,0.12,0.99
196,8.6,0.1,15.0,8.9,1.5,16.7,1.9,0.2,-0.3,1.7,-1.4,AI_Dynamic,0.12,0.93
197,14.1,5.1,42.5,13.3,4.8,41.4,3.0,1.9,-0.8,1.1,0.3,AI_Dynamic,0.73,0.98
198,22.0,0.9,67.1,15.4,8.0,67.6,3.6,3.1,1.0,0.5,-7.1,AI_Dynamic,0.55,0.94
199,18.1,2.6,42.9,16.3,2.0,40.5,1.6,4.0,1.8,-2.4,0.6,AI_Dynamic,0.48,0.73
200,17.2,11.8,99.1,23.8,0.6,94.5,5.0,9.6,6.6,-4.6,11.2,Old_Static,0.71,0.91
201,14.2,2.9,54.0,10.6,0.2,47.7,0.6,5.7,3.6,-5.1,2.7,AI_Dynamic,0.88,0.84
202,32.8,14.6,52.7,42.3,0.8,48.4,3.0,1.3,9.5,1.7,13.8,AI_Dynamic,0.34,0.81
203,44.6,0.2,111.9,35.8,1.2,104.1,4.2,3.6,8.4,0.6,-1.0,AI_Dynamic,0.56,0.81
204,8.3,7.8,38.2,12.4,0.5,35.0,2.0,1.2,2.3,0.8,7.3,AI_Dynamic,0.59,0.9
205,28.8,17.2,75.2,44.0,1.1,74.3,3.3,4.2,10.0,-0.9,16.1,AI_Dynamic,0.77,0.96
206,24.3,12.3,51.7,33.6,0.3,49.0,4.4,7.1,6.1,-2.7,12.0,AI_Dynamic,0.12,0.83
207,25.4,19.4,56.4,40.8,0.4,52.8,2.0,1.6,14.2,0.4,19.0,AI_Dynamic,0.74,0.82
208,46.1,1.7,87.3,33.6,4.5,77.6,14.4,4.7,12.5,9.7,-2.8,AI_Dynamic,0.68,0.98
209,24.2,14.7,70.3,32.2,7.7,71.3,2.7,1.7,8.0,1.0,7.0,AI_Dynamic,0.5,0.79
210,47.9,1.6,54.3,37.7,3.1,45.6,9.5,0.8,10.2,8.7,-1.5,AI_Dynamic,0.46,0.95
211,30.0,1.3,62.7,22.9,0.3,54.6,1.7,6.4,5.3,-4.7,1.0,Old_Static,0.68,0.84
212,46.5,1.6,75.5,38.4,2.3,68.1,0.5,6.9,8.1,-6.4,-0.7,AI_Dynamic,0.89,0.83
213,31.9,2.6,53.4,23.0,8.0,49.9,6.4,2.9,8.9,3.5,-5.4,Old_Static,0.96,0.77
214,22.9,1.0,54.7,14.3,0.7,45.8,7.2,1.7,6.2,5.5,0.3,AI_Dynamic,0.95,0.94
215,5.6,7.6,25.8,7.0,0.4,20.0,2.8,8.6,1.4,-5.8,7.2,AI_Dynamic,0.76,0.89
216,48.5,0.1,77.5,39.1,1.0,69.0,4.4,4.1,9.4,0.3,-0.9,AI_Dynamic,0.23,0.72
