order_id,restaurant_id,rider_id,order_timestamp,items_count,order_complexity_score,map_routing_efficiency,num_traffic_signals,signal_wait_time_min,actual_prep_time_min,actual_delivery_time_min,distance_km,traffic_level,weather_condition,peak_hour_flag,order_status,customer_eta_given_min,actual_total_time_min
23,249,335,10/18/2023 6:55,1,5,0.94,5,1.1,42.8,12.2,4.5,Medium,Clear,0,Delivered,58,63.8
24,213,67,10/1/2023 23:56,3,4,0.81,11,3.9,8.6,45.9,7.3,High,Clear,0,Delivered,65,63.9
25,21,197,10/11/2023 2:50,3,1,0.93,4,3.2,40.6,16.2,3.9,High,Clear,0,Delivered,67,63.4
26,155,246,10/2/2023 16:31,4,5,0.82,8,2.5,15.9,42.5,7.3,High,Heavy Rain,0,Delivered,59,59.5
27,27,296,10/19/2023 10:01,7,4,0.9,16,7.7,36.4,20,5.7,Medium,Clear,0,Delivered,77,65.1
28,77,100,10/16/2023 14:31,4,5,0.91,13,2.3,20.5,14.1,5.1,Low,Clear,1,Delivered,48,41.1
29,57,178,10/28/2023 14:29,1,3,0.88,4,0.5,34.5,6.5,3,Low,Clear,1,Delivered,45,46
30,119,115,10/18/2023 23:33,7,5,0.72,18,13.4,20.3,56.9,7.2,High,Clear,0,Delivered,81,84.6
31,165,168,10/5/2023 17:26,8,1,0.81,19,2.2,36.4,46.9,9,Low,Rain,0,Delivered,82,89.5
32,64,119,10/9/2023 7:03,5,4,0.93,11,0.9,21.6,22.3,7.3,Low,Clear,0,Delivered,45,47.6
33,48,486,10/12/2023 18:20,5,3,0.98,1,0.4,45.3,5.8,1.8,Medium,Rain,0,Delivered,69,60.2
34,150,165,10/10/2023 19:12,6,5,0.9,31,3.5,22.9,30,11.2,Low,Rain,1,Delivered,66,56.3
35,158,219,10/15/2023 10:11,1,2,0.99,1,0.4,25.3,4.4,1.1,Medium,Clear,0,Delivered,30,31
36,156,197,10/3/2023 1:26,7,3,0.78,24,3.9,20.1,27.6,10.7,Low,Clear,0,Delivered,55,50.1
37,151,401,10/15/2023 9:30,3,3,0.74,23,10.7,19.7,38.2,9.4,Medium,Clear,0,Delivered,63,60.5
38,225,318,10/3/2023 11:02,8,1,0.8,4,0.6,10.3,7.1,2.1,Low,Rain,0,Delivered,25,27.3
39,260,486,10/18/2023 15:07,3,1,0.9,7,2.2,31.7,10.6,3.6,Medium,Clear,0,Delivered,45,47.3
40,256,237,10/13/2023 11:14,5,5,0.82,3,1,31.3,12.9,4.8,Medium,Clear,0,Delivered,49,50.3
41,61,169,10/22/2023 18:54,4,2,0.9,20,2.1,19.5,42.8,11,Low,Heavy Rain,0,Delivered,86,71.9
42,260,76,10/8/2023 5:09,1,3,0.91,14,1.9,29.5,34.2,11.8,Low,Rain,0,Delivered,72,68.2
43,162,426,10/16/2023 15:04,6,5,0.88,3,1.1,40.7,16.9,2,High,Rain,0,Delivered,67,62
44,31,287,10/22/2023 2:32,8,2,0.93,10,4.8,35.2,15.3,5.4,Medium,Clear,0,Delivered,57,52
45,71,33,10/2/2023 6:02,6,5,0.77,1,0.2,44.8,12,2.6,Medium,Clear,0,Delivered,66,62.9
46,2,299,10/9/2023 5:48,4,3,0.73,6,2.1,10.2,22.2,4.1,Medium,Heavy Rain,0,Delivered,44,38.5
47,50,349,10/20/2023 14:14,3,5,0.71,30,7.6,37,38.8,11.8,Medium,Clear,1,Delivered,95,82.6
48,135,230,10/29/2023 22:15,5,1,0.99,9,3.8,5,36.9,11.8,Medium,Clear,0,Delivered,40,44.1
49,146,195,10/8/2023 3:17,4,1,0.92,14,9.5,26.3,66,6.2,High,Heavy Rain,0,Delivered,112,98.5
50,179,294,10/26/2023 23:59,3,4,0.77,5,0.7,40.4,7.9,3,Low,Clear,0,Delivered,46,49.5
51,264,297,10/30/2023 11:35,3,2,0.84,14,10.5,26.8,37.4,7,High,Clear,0,Delivered,81,69.3
52,204,374,10/28/2023 22:56,7,3,0.72,2,0.4,26.9,13.9,4.5,Medium,Clear,0,Delivered,43,47.5
53,299,447,10/11/2023 5:59,6,2,0.9,29,7.5,16,58.4,11.2,Medium,Rain,0,Delivered,88,78.7
54,187,424,10/3/2023 2:23,3,1,0.99,27,8.7,17.8,52.9,10,Medium,Heavy Rain,0,Delivered,94,79
55,30,414,10/29/2023 5:25,4,3,0.91,9,4.4,50.1,23.3,4.4,High,Clear,0,Delivered,72,75.8
56,59,431,10/14/2023 4:41,2,4,0.89,3,0.6,35.1,3.7,1.2,Medium,Clear,0,Delivered,53,46.4
57,9,278,10/16/2023 22:09,5,1,0.98,15,1.5,32.9,17.9,12,Low,Clear,0,Delivered,53,53.8
58,167,230,10/21/2023 1:33,3,1,0.85,8,2.5,27.4,41.4,8.5,Medium,Rain,0,Delivered,80,78.8
59,279,96,10/30/2023 20:47,4,2,0.92,4,1.6,10.4,17.1,5.7,High,Clear,1,Delivered,38,34.5
60,191,383,10/18/2023 23:50,8,5,0.98,3,1.1,14.4,16.8,4.2,Medium,Clear,0,Delivered,38,33.2
61,242,439,10/24/2023 10:12,6,2,0.89,0,0,35.6,4.5,1,High,Clear,0,Delivered,46,43.2
62,278,171,10/30/2023 11:16,1,1,0.86,6,2.7,35.7,12.7,2.7,Medium,Clear,0,Delivered,64,57
63,154,317,10/30/2023 12:23,6,2,0.87,2,0.6,39.9,3.4,1.1,Medium,Clear,1,Delivered,52,45
64,160,330,10/15/2023 12:31,7,5,0.93,4,1.1,43.9,15.7,7.6,Medium,Clear,1,Delivered,75,64.1
65,265,32,10/3/2023 10:19,5,4,0.72,8,1.8,30.9,33.9,8.3,Medium,Clear,0,Delivered,71,66.5
66,235,491,10/14/2023 3:50,1,3,0.8,9,2.8,37.8,32.8,9.4,Medium,Clear,0,Delivered,77,76.7
67,199,388,10/17/2023 18:05,1,1,0.72,6,2.6,24.8,16.6,3.1,Medium,Rain,0,Delivered,48,43.1
68,33,477,10/10/2023 9:23,6,2,0.94,5,3.3,37.7,14.3,2.1,High,Clear,0,Delivered,70,59.6
69,89,45,10/20/2023 19:45,4,1,0.97,18,7.5,15.7,38.6,8.2,Medium,Clear,1,Delivered,61,63.3
70,95,72,10/11/2023 0:18,6,3,0.82,15,13.2,26.7,47.4,6.5,High,Clear,0,Delivered,84,78
71,221,20,10/25/2023 12:00,8,2,0.78,24,8.6,15.3,38.5,10.6,Medium,Clear,1,Delivered,57,57.1
72,69,239,10/12/2023 4:16,2,4,0.71,16,6.4,36.5,35.8,6.9,High,Clear,0,Delivered,87,79.9
73,294,199,10/14/2023 1:58,4,3,0.7,11,2.8,37.9,34,5.9,Medium,Clear,0,Delivered,80,73.1
74,237,65,10/10/2023 14:37,4,5,0.86,11,7.7,46.5,30,6.4,High,Clear,1,Delivered,93,79
75,160,188,10/29/2023 6:23,5,5,0.8,24,9.8,40.5,35.6,9.6,Medium,Clear,0,Delivered,81,77.5
76,276,89,10/27/2023 20:36,8,1,0.99,2,0.3,28.8,2.6,1.2,Low,Clear,1,Delivered,41,40
77,290,410,10/27/2023 22:09,7,5,0.95,9,3.1,11.4,26.1,11.1,Medium,Clear,0,Delivered,54,45
78,42,201,10/16/2023 22:42,7,2,0.84,23,10.5,37.6,37.9,8.9,Medium,Rain,0,Delivered,95,84.5
79,66,23,10/2/2023 3:44,4,5,0.76,18,5.7,23.8,57.5,10.7,Medium,Clear,0,Delivered,83,83.7
80,21,296,10/23/2023 12:15,8,4,0.81,13,4.9,51.4,32.6,11.6,Medium,Clear,1,Delivered,93,87.8
81,70,130,10/2/2023 13:11,8,2,0.72,5,0.5,45.3,14.3,3.5,Low,Rain,1,Delivered,61,61.3
82,261,154,10/17/2023 3:02,8,1,0.89,14,7.5,29.7,28.3,7.4,High,Clear,0,Delivered,72,67
83,246,78,10/18/2023 17:25,5,1,0.96,9,0.8,18.4,11,6.3,Low,Clear,0,Cancelled,37,32.5
84,235,190,10/20/2023 5:53,3,5,0.83,13,5.4,42.5,28.8,6.9,Medium,Clear,0,Delivered,76,78.7
85,272,300,10/7/2023 7:29,5,5,0.84,2,0.4,22.6,4.9,1.5,Medium,Rain,0,Delivered,29,29.9
86,99,415,10/26/2023 1:43,7,1,0.98,20,8.8,7.8,50.8,11.1,High,Clear,0,Delivered,57,59.6
87,35,154,10/13/2023 23:57,4,2,0.79,22,4.3,48.6,30.6,11.5,Medium,Clear,0,Delivered,83,87.9
88,171,113,10/12/2023 8:29,3,3,0.73,11,4.3,34.5,26.9,8.5,Medium,Clear,0,Cancelled,67,70.8
89,110,339,10/23/2023 16:29,3,1,0.72,10,0.7,23.3,8.3,3.8,Low,Clear,0,Delivered,44,40.7
90,295,486,10/3/2023 11:20,2,4,0.93,17,3,39.9,24.9,9.7,Medium,Clear,0,Delivered,62,67.2
91,10,117,10/11/2023 6:11,6,2,0.77,5,1.8,13.8,32.5,9,Medium,Rain,0,Delivered,60,54.9
92,202,5,10/20/2023 14:43,4,3,1,9,0.9,22,13,7.3,Low,Clear,1,Delivered,47,41.8
93,257,377,10/2/2023 17:34,1,3,0.99,6,2.7,22.3,8.2,2.9,Medium,Clear,0,Delivered,43,40.2
94,262,326,10/10/2023 17:02,6,2,0.96,6,1,37,5.7,3.2,Low,Clear,0,Cancelled,43,45.4
95,181,35,10/4/2023 4:31,4,1,0.85,7,4.2,20.5,45.3,7.5,High,Clear,0,Delivered,77,68.8
96,66,272,10/7/2023 5:53,1,3,0.85,7,2.4,15.9,11.9,2.4,High,Clear,0,Delivered,44,36.9
97,294,159,10/13/2023 11:09,6,4,0.98,18,6.1,40.5,33.4,9,Medium,Clear,0,Delivered,91,83.5
98,161,210,10/20/2023 12:25,7,2,0.79,4,1.9,23.5,9.7,3.3,Medium,Clear,1,Delivered,39,37.9
99,67,14,10/30/2023 18:56,2,5,0.85,16,2.2,25.2,33.3,11,Low,Clear,0,Delivered,67,68.3
100,100,25,10/21/2023 20:09,4,1,0.82,30,12.4,27.2,42.8,10.9,Medium,Clear,1,Delivered,79,71.7
101,77,335,10/3/2023 18:20,6,2,0.81,6,1.7,13.2,13.7,4.2,Medium,Clear,0,Delivered,38,34.1
102,35,218,10/23/2023 17:39,2,4,0.97,2,0.4,46.7,5.7,1.9,Medium,Rain,0,Delivered,65,60.6
103,45,254,10/3/2023 16:25,1,3,0.92,10,4.6,29.1,19.4,7.7,Medium,Clear,0,Delivered,56,57.5
104,150,484,10/23/2023 13:13,5,1,0.98,10,1,20,15.5,5.9,Low,Heavy Rain,1,Delivered,47,39.7
105,68,203,10/6/2023 22:02,7,1,0.72,2,0.2,27.1,8.9,2.6,Low,Clear,0,Delivered,41,43.1
106,254,101,10/3/2023 1:43,4,2,0.95,4,0.3,27.4,12.4,6.8,Low,Clear,0,Delivered,58,49
107,17,361,10/20/2023 4:33,3,2,0.8,17,1.3,18.6,30,11.9,Low,Clear,0,Delivered,53,58.5
108,261,229,10/7/2023 3:55,3,4,0.88,4,0.4,33,6.8,1.8,Low,Rain,0,Delivered,48,49
109,213,199,10/2/2023 3:22,2,5,0.91,10,1.6,13.5,23.5,3.9,Low,Heavy Rain,0,Delivered,49,44.7
110,256,402,10/6/2023 3:35,7,2,0.74,17,3.5,20.1,34.8,6.9,Medium,Clear,0,Delivered,66,61.6
111,216,178,10/15/2023 20:32,5,2,0.92,8,1.2,23.8,19.6,9.7,Low,Clear,1,Delivered,56,51.1
112,286,276,10/28/2023 6:06,3,2,0.8,0,0,41.4,7.3,1.2,Medium,Rain,0,Delivered,59,52.7
113,7,312,10/14/2023 16:54,8,4,0.78,16,3.2,18.8,43.8,9.1,Medium,Rain,0,Delivered,65,70.1
114,199,130,10/6/2023 22:16,3,3,0.84,5,1,29,8.8,2.5,Medium,Clear,0,Delivered,43,39.4
115,91,410,10/19/2023 9:03,8,5,0.93,21,2.6,21,25.6,10.1,Low,Rain,0,Delivered,63,56.5
116,147,279,10/29/2023 12:04,4,4,0.82,10,1.7,36.2,30.5,8.6,Low,Heavy Rain,1,Delivered,86,74.6
117,150,288,10/21/2023 7:39,3,2,0.86,8,1.2,14.8,13.2,6,Low,Clear,0,Delivered,38,34.7
118,52,141,10/22/2023 9:42,7,3,0.77,29,23.7,34.1,62,10,High,Clear,0,Delivered,102,100.9
119,243,13,10/28/2023 8:58,7,2,0.8,14,6.1,31.6,26.1,9.1,Medium,Clear,0,Delivered,67,59.4
120,219,401,10/9/2023 13:53,8,4,0.98,19,3.7,27,24.5,9.4,Medium,Clear,1,Delivered,54,55.5
121,6,217,10/17/2023 17:44,1,1,0.98,7,4.4,24.5,15.2,4.2,High,Clear,0,Delivered,45,48.3
122,109,186,10/3/2023 22:32,2,2,0.97,20,8.2,14.8,25.5,7.8,Medium,Clear,0,Delivered,47,44.8
123,66,470,10/5/2023 17:06,7,3,0.82,6,1,14.6,8.7,2.6,Low,Clear,0,Delivered,34,32.9
124,10,27,10/23/2023 9:00,6,5,0.71,21,8,17.6,60.3,10,Medium,Clear,0,Delivered,91,83.6
125,202,401,10/10/2023 16:07,3,1,0.98,19,15.5,17,36.3,6.8,High,Clear,0,Delivered,67,62.2
126,282,218,10/15/2023 11:06,4,2,0.82,10,2.8,38.4,26.8,10.1,Medium,Clear,0,Delivered,68,73.8
127,214,422,10/11/2023 10:42,8,2,0.94,6,0.9,27.2,12.2,3.3,Low,Rain,0,Delivered,46,42.6
128,68,14,10/25/2023 16:28,6,3,0.85,2,1,27.1,13.2,2.4,High,Clear,0,Cancelled,43,44
129,247,142,10/14/2023 23:38,1,1,0.97,6,1.3,18.2,32.7,8.6,Medium,Heavy Rain,0,Delivered,60,53.7
130,50,396,10/3/2023 3:47,8,1,0.74,3,0.5,25.7,7.5,1.6,Medium,Clear,0,Delivered,37,35.6
131,17,325,10/7/2023 1:51,6,1,0.95,7,3.1,9.3,14.1,3.7,Medium,Clear,0,Cancelled,29,26.4
132,11,485,10/2/2023 17:59,8,2,0.96,8,1.4,16.6,38.2,11,Medium,Rain,0,Delivered,68,62.9
133,124,324,10/26/2023 4:28,3,1,0.79,7,3.4,29.5,14,2.5,Medium,Clear,0,Delivered,46,45.3
134,225,55,10/25/2023 0:55,2,2,0.89,3,1.8,9.1,32.4,5.1,High,Clear,0,Delivered,52,49.1
135,244,191,10/18/2023 19:14,2,2,0.72,25,8,5,63.9,11.4,Medium,Clear,1,Delivered,76,72.1
136,29,285,10/29/2023 8:53,7,1,0.79,2,0.1,9.3,2.4,1.2,Low,Clear,0,Delivered,19,17.2
137,285,89,10/11/2023 15:55,2,4,0.81,9,1.7,40.3,26.7,5.9,Medium,Rain,0,Delivered,70,68.4
138,59,45,10/29/2023 12:59,3,5,0.73,25,3.7,38.2,56.3,9.7,Low,Rain,1,Delivered,109,101.9
139,143,132,10/6/2023 17:35,1,5,0.83,15,4.5,48.3,32.7,11,Medium,Clear,0,Delivered,88,83.4
140,300,498,10/30/2023 18:12,7,4,0.89,23,5,45.7,38.1,9.1,Medium,Clear,0,Delivered,91,92
141,226,400,10/3/2023 10:48,5,1,0.89,21,4.7,12.2,37.2,10.8,Medium,Clear,0,Delivered,61,51.3
142,164,498,10/10/2023 13:35,6,2,0.84,2,0.2,14.8,4.3,1.4,Low,Clear,1,Cancelled,20,21.8
143,84,66,10/20/2023 16:05,7,3,0.74,2,0.3,12.8,6.5,2.1,Low,Clear,0,Delivered,29,28.6
144,117,279,10/20/2023 0:25,2,4,0.72,10,1.3,16.3,28.3,9.1,Low,Rain,0,Delivered,62,51.8
145,204,324,10/24/2023 6:07,1,5,0.95,5,0.9,29.8,59.9,9.3,Medium,Heavy Rain,0,Delivered,100,91.5
146,294,148,10/4/2023 11:37,8,5,0.87,15,2.1,44.8,21.6,7.7,Low,Rain,0,Delivered,66,69.5
147,145,145,10/16/2023 1:03,8,2,0.92,14,4.6,34.4,49.5,9,Medium,Rain,0,Delivered,84,90.9
148,27,436,10/24/2023 13:36,4,5,0.71,13,4.5,38,44.2,10.4,Medium,Clear,1,Delivered,87,86.3
149,17,6,10/4/2023 23:28,4,5,0.83,6,1.5,19.8,26.2,7,Medium,Clear,0,Delivered,51,54.1
150,63,82,10/16/2023 6:37,8,2,0.97,5,0.3,13.1,39.9,11.4,Low,Rain,0,Delivered,68,62.7
151,267,468,10/13/2023 4:20,1,1,0.91,18,5.8,16.1,28.6,8.6,Medium,Clear,0,Delivered,58,51.9
152,64,123,10/5/2023 16:12,4,5,0.93,16,5.6,32.3,18.5,6.2,Medium,Clear,0,Delivered,67,57.2
153,39,167,10/16/2023 22:53,4,1,0.84,7,2.6,28.2,23.4,5.6,Medium,Rain,0,Delivered,52,55.2
154,130,237,10/21/2023 18:42,2,3,0.92,17,5.1,29,25.6,9.3,Medium,Clear,0,Delivered,59,63.5
155,115,105,10/21/2023 19:16,3,1,0.9,15,5.1,14.8,22.6,7.9,Medium,Clear,1,Delivered,43,39.3
156,45,290,10/2/2023 15:00,3,2,0.74,11,3.7,22.2,62.1,10,Medium,Heavy Rain,0,Delivered,86,87.9
157,216,488,10/24/2023 21:56,3,2,0.73,16,4.5,27.2,68.6,9.6,Medium,Rain,1,Delivered,101,100.7
158,88,238,10/7/2023 23:19,3,2,0.75,14,5.9,34.8,22.9,6.8,Medium,Clear,0,Delivered,57,59.7
159,177,310,10/13/2023 0:15,1,5,0.72,30,16.8,31.2,74.6,11.4,High,Clear,0,Delivered,109,108.5
160,265,472,10/9/2023 23:24,7,4,0.87,21,9.3,24.9,38.6,8.7,High,Clear,0,Cancelled,68,69.3
161,105,82,10/9/2023 19:12,2,5,0.99,8,0.5,39.2,8.3,3.2,Low,Clear,1,Delivered,57,49.4
162,171,94,10/13/2023 20:27,1,1,0.93,23,5.8,45.3,31,7.8,Medium,Clear,1,Cancelled,76,80.7
163,108,321,10/25/2023 0:32,8,3,0.92,3,0.2,21.5,5.1,3.2,Low,Clear,0,Delivered,37,35.8
164,161,343,10/21/2023 21:36,6,3,0.95,16,5.1,22.3,18.8,7.1,Medium,Clear,1,Delivered,47,46.4
165,283,285,10/1/2023 21:08,6,3,0.97,18,5.1,17.7,24.9,9.7,Medium,Clear,1,Delivered,47,49
166,40,297,10/9/2023 14:00,4,3,0.79,19,1.7,52.1,24.1,9.9,Low,Clear,1,Delivered,79,79
167,26,361,10/19/2023 20:37,8,4,0.73,10,0.8,19.6,31.1,8.2,Low,Rain,1,Delivered,67,59.3
168,83,319,10/16/2023 21:05,2,3,0.93,25,3.9,27.8,20.2,9.6,Low,Clear,1,Delivered,62,54.5
169,173,416,10/6/2023 23:43,5,5,0.83,15,7.1,30,55.4,6.2,Medium,Heavy Rain,0,Delivered,96,95.1
170,173,66,10/14/2023 2:48,8,3,0.98,18,7.8,35.5,28.3,7.1,Medium,Clear,0,Delivered,68,67.1
171,282,112,10/20/2023 3:43,3,2,0.98,32,13.2,35.6,58.5,10.7,Medium,Rain,0,Delivered,110,100.5
172,70,356,10/21/2023 7:48,6,1,0.99,8,2.6,35.4,20.6,6.4,Medium,Clear,0,Cancelled,66,62.3
173,6,429,10/7/2023 17:50,6,5,0.93,14,6,32.8,16.7,4.9,Medium,Clear,0,Delivered,61,58.5
174,284,401,10/9/2023 11:07,8,4,0.88,10,1.2,8.2,19.8,9.8,Low,Clear,0,Delivered,41,35.7
175,195,171,10/18/2023 2:21,4,5,0.93,1,0.1,35,6,1.6,Low,Rain,0,Delivered,51,43.5
176,13,247,10/17/2023 16:21,3,2,0.78,6,2.6,27.2,44.5,11.5,High,Clear,0,Delivered,81,80.3
177,63,66,10/27/2023 4:46,3,3,0.7,5,1.1,15.1,20.1,4.7,Medium,Clear,0,Delivered,40,44.1
178,13,68,10/15/2023 3:24,3,3,0.84,10,3.1,29.4,20.9,7.9,Medium,Clear,0,Delivered,57,56.1
179,249,492,10/4/2023 12:47,7,4,0.89,10,3.6,44.8,24.2,8.5,Medium,Clear,1,Delivered,74,74.4
180,205,34,10/28/2023 4:19,6,1,0.95,7,0.5,41.7,5.6,2.5,Low,Clear,0,Delivered,59,53.3
181,253,1,10/12/2023 18:04,8,3,0.72,12,3.7,8.5,53.4,10.1,High,Clear,0,Delivered,72,63.4
182,40,151,10/15/2023 5:15,5,4,0.71,15,2.5,43.9,27.4,7.3,Medium,Clear,0,Delivered,78,78.1
183,165,390,10/2/2023 22:53,4,3,0.98,13,1.3,36.7,7.7,4.6,Low,Clear,0,Delivered,43,46.2
184,31,272,10/4/2023 6:41,8,5,0.76,12,1.8,39.7,27.4,10.4,Low,Clear,0,Delivered,75,74.1
185,17,258,10/22/2023 21:03,3,4,0.91,23,1.4,15.9,17.2,7.9,Low,Clear,1,Cancelled,45,42.6
186,137,238,10/17/2023 10:20,3,4,0.74,23,2.7,13,36.3,9.6,Low,Heavy Rain,0,Delivered,55,56.4
187,165,116,10/6/2023 22:10,2,4,0.97,30,7.7,37.7,48.8,11.9,Medium,Rain,0,Delivered,92,91.8
188,281,76,10/27/2023 10:02,3,3,0.92,4,0.7,9.6,7.2,2.4,Low,Rain,0,Delivered,25,23.9
189,223,283,10/19/2023 13:28,2,4,0.72,22,3.9,39,29.3,9.2,Low,Clear,1,Delivered,84,75.3
190,122,19,10/14/2023 15:01,4,5,0.78,18,5.2,6.8,26.9,9.3,Medium,Clear,0,Delivered,42,39.4
191,78,284,10/20/2023 13:13,4,1,0.99,18,3.2,30.4,19.5,10.6,Low,Clear,1,Delivered,59,58.1
192,88,35,10/30/2023 7:05,4,1,0.95,14,2.5,27.7,17.5,5.5,Low,Clear,0,Delivered,64,54.6
193,113,371,10/16/2023 21:49,2,2,0.71,27,9.3,23.4,49.6,10.6,Medium,Clear,1,Delivered,83,74.4
194,100,491,10/21/2023 10:50,6,5,0.79,11,3.1,25.7,28.9,8,Medium,Clear,0,Delivered,74,63.8
195,239,324,10/7/2023 21:56,6,5,0.8,1,0.4,17.7,10.8,1.8,High,Clear,1,Delivered,37,33
196,111,305,10/6/2023 9:41,7,4,0.84,3,1,8,6.3,1.3,Medium,Clear,0,Delivered,17,16.9
197,90,241,10/14/2023 9:48,5,2,0.78,15,2.4,14.6,23.3,6.3,Low,Clear,0,Delivered,42,39.5
198,139,7,10/4/2023 5:02,7,5,0.95,25,7.2,18.2,44.2,9.6,Medium,Clear,0,Delivered,79,70.7
199,135,37,10/25/2023 4:40,5,5,0.84,2,1.2,13.4,22.2,5.2,High,Clear,0,Delivered,52,44.5
200,12,371,10/25/2023 8:44,7,5,0.7,27,14.6,24.4,70.1,10.4,High,Clear,0,Delivered,112,104.1
201,244,153,10/30/2023 8:15,8,3,0.82,10,3.9,9.9,36.9,6.4,Medium,Heavy Rain,0,Cancelled,59,53.4
202,182,245,10/24/2023 17:27,6,5,0.88,3,1,42.8,5.3,1.3,Medium,Clear,0,Delivered,57,49.7
203,195,250,10/21/2023 13:14,7,3,0.9,26,8.4,36,67.1,11.7,Medium,Heavy Rain,1,Delivered,110,107.7
204,122,115,10/15/2023 10:56,6,5,0.73,10,0.9,11.5,22.1,6.4,Low,Clear,0,Delivered,37,36.2
205,53,41,10/9/2023 20:20,3,1,0.85,6,2.1,41.4,29.2,8.2,Medium,Clear,1,Delivered,93,78.5
206,173,337,10/30/2023 3:57,4,3,0.83,6,1.9,32,15.1,3.2,Medium,Rain,0,Delivered,65,56.1
207,179,62,10/16/2023 13:25,6,3,0.75,9,1.3,40.2,11.6,4.3,Low,Clear,1,Delivered,58,54.4
208,293,169,10/28/2023 5:42,8,4,0.75,17,11.5,32.1,39.5,6.3,High,Clear,0,Delivered,87,72.9
209,59,142,10/12/2023 9:15,1,5,0.99,28,2.7,34.3,31.4,10.4,Low,Heavy Rain,0,Delivered,87,73
210,54,485,10/18/2023 10:05,6,2,0.82,2,0.3,36.5,4.8,2.1,Low,Clear,0,Delivered,48,44.8
211,257,438,10/16/2023 23:16,3,2,0.89,6,0.9,23.8,31.4,9.6,Low,Clear,0,Delivered,61,61
212,245,258,10/10/2023 7:33,6,2,0.76,12,4.4,38.4,27.4,7.4,Medium,Clear,0,Cancelled,71,75
213,149,88,10/17/2023 19:53,5,2,0.99,7,2.2,22.2,18.9,6.5,Medium,Clear,1,Delivered,48,47
214,284,463,10/17/2023 21:41,5,1,0.98,13,1.8,15.5,30.8,10.6,Low,Rain,1,Delivered,54,47.5
215,16,48,10/17/2023 23:11,7,2,0.94,4,1.2,8.6,12.6,2.3,Medium,Rain,0,Delivered,29,28.6
216,176,435,10/29/2023 9:35,4,4,0.83,28,2.8,34.5,28.9,11.9,Low,Clear,0,Delivered,72,73.1
217,28,481,10/20/2023 19:05,2,2,0.82,24,8.6,33.5,53.2,10.4,Medium,Clear,1,Delivered,106,95.8
218,129,311,10/3/2023 6:22,8,4,0.97,11,1.8,48.3,11.1,4.6,Medium,Clear,0,Delivered,75,69.3
219,223,12,10/13/2023 8:22,8,3,0.96,3,1.1,26,32.2,6,High,Rain,0,Delivered,66,60
